Company,TypeName,Ram,Weight,Price,TouchScreen,Ips,Ppi,Cpu_brand,HDD,SSD,Gpu_brand,Os
Apple,Ultrabook,8.0,1.37,11.175754549129524,,1.0,,Intel Core i5,0.0,128.0,Intel,Mac
Apple,Ultrabook,8.0,1.34,,0.0,0.0,127.67794013309688,Intel Core i5,0.0,0.0,Intel,Mac
HP,Notebook,,1.86,10.329931067029484,0.0,,141.21199808219862,Intel Core i5,0.0,256.0,Intel,Others
Apple,Ultrabook,16.0,,11.814475944954545,0.0,1.0,220.53462386625827,Intel Core i7,0.0,512.0,AMD,Mac
Apple,Ultrabook,8.0,1.37,11.473100972779063,0.0,,226.98300468106115,Intel Core i5,0.0,,Intel,Mac
Acer,Notebook,4.0,2.1,9.967025573340116,0.0,0.0,100.45466986113652,AMD Processor,500.0,0.0,AMD,Windows
Apple,Ultrabook,16.0,,11.64410811545818,0.0,1.0,220.53462386625827,Intel Core i7,0.0,0.0,Intel,Mac
Apple,Ultrabook,8.0,1.34,11.03061499223515,0.0,,127.67794013309688,Intel Core i5,0.0,0.0,Intel,Mac
Asus,Ultrabook,16.0,1.3,11.28544251205692,0.0,0.0,157.3505121487356,Intel Core i7,0.0,512.0,Nvidia,Windows
Acer,Ultrabook,8.0,1.6,10.621951541079865,0.0,,157.3505121487356,Intel Core i5,0.0,256.0,Intel,Windows
HP,Notebook,4.0,1.86,9.951658096208996,,0.0,,Intel Core i5,500.0,0.0,Intel,Others
HP,Notebook,4.0,,9.81907645733616,0.0,0.0,141.21199808219862,Intel Core i3,500.0,0.0,Intel,Others
Apple,Ultrabook,16.0,1.83,11.775302049361828,0.0,,220.53462386625827,Intel Core i7,0.0,256.0,AMD,Mac
Dell,Notebook,4.0,2.2,10.187966701099125,0.0,0.0,141.21199808219862,Intel Core i3,0.0,256.0,AMD,Windows
Apple,Ultrabook,,0.92,11.116330976323743,0.0,1.0,226.4155471693585,Other Intel Processor,0.0,256.0,Intel,Mac
Apple,Ultrabook,8.0,,11.301072237406668,0.0,1.0,226.98300468106115,Intel Core i5,0.0,256.0,Intel,Mac
Dell,Notebook,8.0,,10.588945244611692,0.0,0.0,141.21199808219862,Intel Core i7,0.0,256.0,AMD,Windows
Apple,Ultrabook,16.0,1.83,11.933438384721946,0.0,1.0,220.53462386625827,Intel Core i7,0.0,512.0,AMD,Mac
Lenovo,Notebook,8.0,2.2,10.188167121983652,0.0,0.0,,Intel Core i3,,,Nvidia,Others
